职位,公司名称,地址,经度,纬度,网址
运输调度,天津顶通物流有限公司,天津开发区第七大街与相安路交口百事可乐,117.7095397,39.05818746,https://jobs.51job.com/tianjin/97558142.html?s=01&t=0
仓库管理员,天津顶通物流有限公司,天津开发区第七大街与相安路交口百事可乐,117.7095397,39.05818746,https://jobs.51job.com/tianjin/97558264.html?s=01&t=0
天津鸿泰管业储运部职员,天津开发区人力资源服务有限公司,经济技术开发区汉沽现代产业区翠薇街6号,117.7165458,39.077118,https://jobs.51job.com/tianjin/97571342.html?s=01&t=0
调度（天津）,无锡市中卡物流有限公司,天津市西青区王稳庄盛达三支路普洛斯普金物流园,117.2770747,38.89348498,https://jobs.51job.com/tianjin/97666265.html?s=01&t=0
库控文员-天津山姆,沃尔玛（天津）商业零售有限公司,西青区汇川路221号，外环线和友谊南路交口，梅江会展中心二期内，沃尔玛山姆会员店内,0,0,https://jobs.51job.com/tianjin/97835614.html?s=01&t=0
原料库管  配料员,天津市法颂食品有限公司,津南区双港镇工业园丽港园7号楼,117.3131326,39.01913252,https://jobs.51job.com/tianjin/98184444.html?s=01&t=0
外勤兼操作,上海明乾物流有限公司,天津开发区第三大街豪威大厦,117.6928024,39.0423882,https://jobs.51job.com/tianjin/98283782.html?s=01&t=0
物流专员,豪恩深冷物流（天津）有限公司,天津市新产业园区花园产业区（环外）海泰发展五道16号B8-2-202,117.1012641,39.08666207,https://jobs.51job.com/tianjin/98318152.html?s=01&t=0
物流调度,豪恩深冷物流（天津）有限公司,天津市新产业园区花园产业区（环外）海泰发展五道16号B8-2-202,117.1012641,39.08666207,https://jobs.51job.com/tianjin/98318164.html?s=01&t=0
仓库提货员,北京泽坤国际货运代理有限公司,天津市东丽区空港货运有限公司228室,117.4147823,39.13960464,https://jobs.51job.com/tianjin/98514612.html?s=01&t=0
仓储运营经理,深圳市北领科技物流有限公司,天津市宁河现代产业园区安捷西路2号安博天津宁河物流中心1#库,117.441857,39.25754713,https://jobs.51job.com/tianjin/98746724.html?s=01&t=0
仓库管理员（包吃住）,武汉建中伟业科技有限公司,天津津南区,117.39291,38.96979053,https://jobs.51job.com/tianjin/98950806.html?s=01&t=0
图书整理员,苏州嘉图软件有限公司,天津空港经济区东四道8号空港经济区文化中心,117.4103211,39.15872288,https://jobs.51job.com/tianjin/99396762.html?s=01&t=0
仓库管理员,博宇金属股份有限公司,天津市宜兴镇七街工业园,117.2403635,39.22257355,https://jobs.51job.com/tianjin/99541734.html?s=01&t=0
仓储物流专员,深圳市恒腾网络有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/99561051.html?s=01&t=0
库管装卸工,天津市升大美味商贸有限公司,天津市河北区瑞庭风苑4-1401,117.2202968,39.17314893,https://jobs.51job.com/tianjin/99577196.html?s=01&t=0
物流专员,天津九谦物流有限公司,天津市北辰区津围公路华北集团物流园,117.2294386,39.23710311,https://jobs.51job.com/tianjin/99604013.html?s=01&t=0
运输管理专员,林孚克斯（上海）道路运输有限公司天津分公司,天津北辰区小淀开发区高新大道69号沃尔玛配送中心三期,117.2775922,39.23984831,https://jobs.51job.com/tianjin/99720230.html?s=01&t=0
仓库及物业管理-央企招聘,天津市汇丰企业外包服务有限公司,塘沽海港保税区,117.7693204,39.0141442,https://jobs.51job.com/tianjin/99943816.html?s=01&t=0
仓库管理员,天津博益气动股份有限公司,天津开发区第九大街80号丰华工业园7号厂区,117.7313344,39.05846406,https://jobs.51job.com/tianjin/99947329.html?s=01&t=0
仓库管理员,莱恩（天津）门窗有限公司,西平道55号京宝工业园旁,117.0876582,39.23569431,https://jobs.51job.com/tianjin-bcq/100465167.html?s=01&t=0
运输计划,天津阿克苏诺贝尔过氧化物有限公司,天津市北辰区外环线24.5公里处西侧,117.2228306,39.22082715,https://jobs.51job.com/tianjin-bcq/100657823.html?s=01&t=0
仓库管理员,天津欧亚床垫家具有限公司,双街镇经济技术开发区双原道4号欧亚床垫,117.1212853,39.27790524,https://jobs.51job.com/tianjin-bcq/101260232.html?s=01&t=0
调度专员,美菜网,交通集团城市物流配送中心美菜网仓库,117.172458,39.21532391,https://jobs.51job.com/tianjin-bcq/101362352.html?s=01&t=0
仓库管理员,天津市英辰精密模具有限公司,天津市北辰区津围公路华盛道61号,117.251067,39.23966202,https://jobs.51job.com/tianjin-bcq/101431483.html?s=01&t=0
仓库管理员,天津奥特浦斯机电设备有限公司,宜兴埠科技园区景远路5号,117.2549382,39.23728591,https://jobs.51job.com/tianjin-bcq/101481697.html?s=01&t=0
仓库数据统计,天津奥特浦斯机电设备有限公司,宜兴埠科技园区景远路5号,117.2549382,39.23728591,https://jobs.51job.com/tianjin-bcq/101481942.html?s=01&t=0
车间库管员,天津市中重科技工程有限公司,高新大道景祥路16号,117.2735331,39.2368311,https://jobs.51job.com/tianjin-bcq/101514487.html?s=01&t=0
仓库管理员,天津鹤立汽车零部件有限公司,永合道与兴河路交叉口欧盟高端装备产业园,117.1713956,39.30265507,https://jobs.51job.com/tianjin-bcq/101560175.html?s=01&t=0
天地华宇招聘装卸工/搬运工（包吃住）,天地华宇集团,天津市北辰区双街镇德利得物流园天地华宇物流公司,117.1172614,39.27642922,https://jobs.51job.com/tianjin-bcq/101785637.html?s=01&t=0
仓库管理员,天津市科威尔宠物用品有限公司,普及河东道与万科花园路交口,117.2232106,39.21511371,https://jobs.51job.com/tianjin-bcq/101969831.html?s=01&t=0
仓库管理员,深圳市华夏龙供应链管理有限公司,天津市北辰区大张庄镇南王平村村南津围公路东,117.2232492,39.34166849,https://jobs.51job.com/tianjin-bcq/102180910.html?s=01&t=0
库房管理文员/月薪4000+接受实习,菲尔普斯文化传播,天津市北辰区北辰区文化中心楼,117.1428332,39.23009924,https://jobs.51job.com/tianjin-bcq/102188274.html?s=01&t=0
天地华宇招调度员,天地华宇集团,双街镇德利得物流园内,117.1172614,39.27642922,https://jobs.51job.com/tianjin-bcq/102224111.html?s=01&t=0
装卸工/搬运工（包吃住）,天地华宇集团,双街镇德利得物流园内,117.1172614,39.27642922,https://jobs.51job.com/tianjin-bcq/102266250.html?s=01&t=0
仓库管理员/库管,天津卓诗尼商贸有限公司,天津市北辰区瑞景国际鞋城,117.1315465,39.20938956,https://jobs.51job.com/tianjin-bcq/102567291.html?s=01&t=0
仓库配货员/配货工,天津卓诗尼商贸有限公司,天津市北辰区瑞景国际鞋城,117.1315465,39.20938956,https://jobs.51job.com/tianjin-bcq/102567333.html?s=01&t=0
收退，分拣工,美菜网,交通集团城市物流配送中心,117.172458,39.21532391,https://jobs.51job.com/tianjin-bcq/102579601.html?s=01&t=0
仓储经理,嘉里会成物流（上海）有限公司,华盛道158号,117.2380434,39.23551529,https://jobs.51job.com/tianjin-bcq/102581877.html?s=01&t=0
装卸工,天津市北辰区威速货运代理中心,天津市北辰区青光镇韩家墅村景海物流园B区2楼69号,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/102621194.html?s=01&t=0
仓库管理员,天津中环电炉股份有限公司,天津市北辰经济开发区双川道11号,117.1271502,39.28272721,https://jobs.51job.com/tianjin-bcq/102676025.html?s=01&t=0
仓库管理员(职位编号：TASLY001626),天士力医药集团股份有限公司,北辰区普济河东道2号 天士力现代中药城,117.2213909,39.21566371,https://jobs.51job.com/tianjin-bcq/102770607.html?s=01&t=0
物流部运营专员,美菜网,交通集团城市物流配送中心美菜网,117.172458,39.21532391,https://jobs.51job.com/tianjin-bcq/102802763.html?s=01&t=0
仓库管理员,天津市高仕电动车有限公司,天津市北辰区双口工业园永保路7号,117.0803776,39.24501629,https://jobs.51job.com/tianjin-bcq/102975699.html?s=01&t=0
诚聘发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/102999267.html?s=01&t=0
诚聘仓库管理员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103004376.html?s=01&t=0
诚聘发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103004501.html?s=01&t=0
仓库管理员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103004845.html?s=01&t=0
发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103004876.html?s=01&t=0
诚聘仓库管理员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103006753.html?s=01&t=0
