始发站,终点站,货物,日期,网址
北京,广东深圳,普货,2018-10-12,http://www.56135.com/huoyuan/I9449555.html
北京,广东东莞,快递,2018-10-12,http://www.56135.com/huoyuan/I9449554.html
北京,广东广州,快递,2018-10-12,http://www.56135.com/huoyuan/I9449553.html
北京大兴,青海,None,2018-10-12,http://www.56135.com/huoyuan/I9449467.html
北京顺义,江苏南京,快递,2018-10-12,http://www.56135.com/huoyuan/I9449501.html
北京怀柔,宁夏银川,None,2018-10-12,http://www.56135.com/huoyuan/I9449114.html
北京大兴,黑龙江佳木斯,水稻,2018-10-12,http://www.56135.com/huoyuan/I9449113.html
北京怀柔,河北邯郸武安,普货,2018-10-12,http://www.56135.com/huoyuan/I9455743.html
北京海淀,河北邯郸魏县,搬家货,2018-10-12,http://www.56135.com/huoyuan/I9455731.html
北京昌平,河北唐山丰润,普货,2018-10-12,http://www.56135.com/huoyuan/I9455720.html
北京昌平,山东潍坊诸城,一台,2018-10-12,http://www.56135.com/huoyuan/I9455671.html
北京,吉林长春,普货,2018-10-12,http://www.56135.com/huoyuan/I9448753.html
北京,辽宁大连,普货,2018-10-12,http://www.56135.com/huoyuan/I9448335.html
北京通州,湖南常德,None,2018-10-12,http://www.56135.com/huoyuan/I9448220.html
北京,广东东莞虎门,普货,2018-10-12,http://www.56135.com/huoyuan/I9448148.html
北京,广西南宁,普货,2018-10-12,http://www.56135.com/huoyuan/I9448147.html
北京,辽宁盘锦,塔底料,2018-10-12,http://www.56135.com/huoyuan/I9448028.html
北京,山东东营广饶,催柴,2018-10-12,http://www.56135.com/huoyuan/I9447982.html
北京,江苏南京,普货,2018-10-12,http://www.56135.com/huoyuan/I9447809.html
北京,云南昆明,普货,2018-10-12,http://www.56135.com/huoyuan/I9447807.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9447806.html
北京,江西南昌,普货,2018-10-12,http://www.56135.com/huoyuan/I9447805.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9447804.html
北京房山,湖北孝感,设备,2018-10-12,http://www.56135.com/huoyuan/I9447766.html
北京昌平,山西太原,None,2018-10-12,http://www.56135.com/huoyuan/I9447515.html
北京,河南漯河,None,2018-10-12,http://www.56135.com/huoyuan/I9447394.html
北京通州,北京通州,None,2018-10-12,http://www.56135.com/huoyuan/I9447366.html
北京,湖北武汉,普货,2018-10-12,http://www.56135.com/huoyuan/I9447209.html
