始发地,目的地,货物类型,日期,网址
天津静海,北京通州,None,2018/3/22,http://www.56135.com/huoyuan/I6310712.html
黑龙江哈尔滨,北京昌平,配件,2018/3/22,http://www.56135.com/huoyuan/I6310696.html
浙江宁波,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6310679.html
浙江台州,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6310678.html
四川资阳安岳,北京通州,蜜蜂,2018/3/22,http://www.56135.com/huoyuan/I6310542.html
四川成都,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6310441.html
浙江宁波,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6310342.html
山东东营广饶,北京,柴油,2018/3/22,http://www.56135.com/huoyuan/I6310188.html
山东东营垦利,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6310182.html
广东湛江,北京,虾仁,2018/3/22,http://www.56135.com/huoyuan/I6310167.html
宁夏,北京房山,货,2018/3/22,http://www.56135.com/huoyuan/I6310104.html
福建南平,北京,普货,2018/3/22,http://www.56135.com/huoyuan/I6310066.html
湖北随州,北京昌平,None,2018/3/22,http://www.56135.com/huoyuan/I6309867.html
浙江金华,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6309849.html
江苏苏州昆山,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6309823.html
辽宁盘锦,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6309820.html
内蒙古鄂尔多斯杭锦旗,北京,重烯烃,2018/3/22,http://www.56135.com/huoyuan/I6309552.html
河北保定徐水,北京大兴,360挖机,2018/3/22,http://www.56135.com/huoyuan/I6309497.html
河北唐山,北京,甲醇,2018/3/22,http://www.56135.com/huoyuan/I6309472.html
湖北襄阳南漳,北京昌平,钙粉,2018/3/22,http://www.56135.com/huoyuan/I6309438.html
北京大兴,北京延庆,货,2018/3/22,http://www.56135.com/huoyuan/I6309387.html
辽宁盘锦,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6309375.html
吉林,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6309350.html
山东,北京,柴油,2018/3/22,http://www.56135.com/huoyuan/I6309344.html
广西南宁,北京,桔子,2018/3/22,http://www.56135.com/huoyuan/I6309327.html
内蒙古鄂尔多斯杭锦旗,北京,None,2018/3/22,http://www.56135.com/huoyuan/I6308817.html
广东佛山,北京,None,2018/3/22,http://www.56135.com/huoyuan/I6308808.html
黑龙江哈尔滨,北京,None,2018/3/22,http://www.56135.com/huoyuan/I6308807.html
河北唐山丰润,北京延庆,螺纹,2018/3/22,http://www.56135.com/huoyuan/I6308771.html
湖北襄阳南漳,北京昌平,钙粉,2018/3/22,http://www.56135.com/huoyuan/I6308685.html
山西吕梁交城,北京丰台,None,2018/3/22,http://www.56135.com/huoyuan/I6308669.html
福建南平建瓯,北京,绿通,2018/3/22,http://www.56135.com/huoyuan/I6308631.html
河北沧州黄骅,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6308622.html
新疆喀什,北京,None,2018/3/22,http://www.56135.com/huoyuan/I6308551.html
新疆喀什,北京密云,None,2018/3/22,http://www.56135.com/huoyuan/I6308548.html
上海,北京,水果,2018/3/22,http://www.56135.com/huoyuan/I6308505.html
福建福州,北京,绿通,2018/3/22,http://www.56135.com/huoyuan/I6308403.html
江苏泰州,北京房山,二甲苯,2018/3/22,http://www.56135.com/huoyuan/I6308329.html
黑龙江大庆,北京,危险品,2018/3/22,http://www.56135.com/huoyuan/I6307741.html
四川成都,北京,萝卜,2018/3/22,http://www.56135.com/huoyuan/I6307501.html
河南郑州,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6307413.html
黑龙江佳木斯,北京,猪,2018/3/22,http://www.56135.com/huoyuan/I6307278.html
广东东莞,北京,邮包,2018/3/22,http://www.56135.com/huoyuan/I6307250.html
福建福州,北京,绿通,2018/3/22,http://www.56135.com/huoyuan/I6307242.html
广东广州,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6307216.html
辽宁盘锦,北京,汽油料,2018/3/22,http://www.56135.com/huoyuan/I6307203.html
辽宁盘锦,北京,烷基化,2018/3/22,http://www.56135.com/huoyuan/I6307022.html
浙江嘉兴,北京,普货,2018/3/22,http://www.56135.com/huoyuan/I6307002.html
辽宁盘锦,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6306912.html
