,公司,岗位,薪资,地址,经度,纬度,URL,low,hight,mean,区域
1314,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-西城区,116.372226,39.918149,https://jobs.51job.com/beijing-xcq/109413555.html?s=01&t=0,4.5,6.0,5.25,西城区
1315,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-东城区,116.422598,39.9348,https://jobs.51job.com/beijing-dcq/109346202.html?s=01&t=0,4.5,6.0,5.25,东城区
1316,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-海淀区,116.305044,39.965505,https://jobs.51job.com/beijing-hdq/109251850.html?s=01&t=0,4.5,6.0,5.25,海淀区
1317,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-石景山区,116.229612,39.911353,https://jobs.51job.com/beijing-sjsq/109154051.html?s=01&t=0,4.5,6.0,5.25,石景山区
1318,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-房山区,116.149447,39.754327,https://jobs.51job.com/beijing-fsq/109009352.html?s=01&t=0,4.5,6.0,5.25,房山区
1319,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-东城区,116.422598,39.9348,https://jobs.51job.com/beijing-dcq/109770868.html?s=01&t=0,4.5,6.0,5.25,东城区
1320,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-海淀区,116.305044,39.965505,https://jobs.51job.com/beijing-hdq/109698653.html?s=01&t=0,4.5,6.0,5.25,海淀区
1321,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-西城区,116.372226,39.918149,https://jobs.51job.com/beijing-xcq/109601847.html?s=01&t=0,4.5,6.0,5.25,西城区
1322,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-石景山区,116.229612,39.911353,https://jobs.51job.com/beijing-sjsq/109491960.html?s=01&t=0,4.5,6.0,5.25,石景山区
1324,北京兰城兴商贸有限公司,普工,3.5-4.5千/月,菜户营鹏润家园,116.35361,39.875428,https://jobs.51job.com/beijing-ftq/104221803.html?s=01&t=0,3.5,4.5,4.0,丰台区
